Date,Ticker,Close
2023-12-29,MSFT,373.249
2023-12-29,AAPL,191.382
2023-12-29,AMZN,151.94
2023-12-29,JPM,170.1
2023-12-28,MSFT,372.494
2023-12-28,AAPL,192.424
2023-12-28,AMZN,153.38
2023-12-28,JPM,170.3
2023-12-27,MSFT,371.294
2023-12-27,AAPL,191.998
2023-12-27,AMZN,153.34
2023-12-27,JPM,169.4
2023-12-26,MSFT,371.879
2023-12-26,AAPL,191.898
2023-12-26,AMZN,153.41
2023-12-26,JPM,168.39
2023-12-22,MSFT,371.801
2023-12-22,AAPL,192.444
2023-12-22,AMZN,153.42
2023-12-22,JPM,167.4
2023-12-21,MSFT,370.768
2023-12-21,AAPL,193.519
2023-12-21,AMZN,153.84
2023-12-21,JPM,167.5
2023-12-20,MSFT,367.87
2023-12-20,AAPL,193.667
2023-12-20,AMZN,152.12
2023-12-20,JPM,166.55
2023-12-19,MSFT,370.489
2023-12-19,AAPL,195.765
2023-12-19,AMZN,153.79
2023-12-19,JPM,168.45
2023-12-18,MSFT,369.884
2023-12-18,AAPL,194.721
2023-12-18,AMZN,154.07
2023-12-18,JPM,166.23
2023-12-15,MSFT,367.978
2023-12-15,AAPL,196.391
2023-12-15,AMZN,149.97
2023-12-15,JPM,165.23
2023-12-14,MSFT,363.214
2023-12-14,AAPL,196.928
2023-12-14,AMZN,147.42
2023-12-14,JPM,163.99
2023-12-13,MSFT,371.591
2023-12-13,AAPL,196.779
2023-12-13,AMZN,148.84
2023-12-13,JPM,161.06
2023-12-12,MSFT,371.601
2023-12-12,AAPL,193.548
2023-12-12,AMZN,147.48
2023-12-12,JPM,160.52
2023-12-11,MSFT,368.544
2023-12-11,AAPL,192.027
2023-12-11,AMZN,145.89
2023-12-11,JPM,159.1
2023-12-08,MSFT,371.451
2023-12-08,AAPL,194.542
2023-12-08,AMZN,147.42
2023-12-08,JPM,158.52
2023-12-07,MSFT,368.196
2023-12-07,AAPL,193.11
2023-12-07,AMZN,146.88
2023-12-07,JPM,156.79
2023-12-06,MSFT,366.062
2023-12-06,AAPL,191.172
2023-12-06,AMZN,144.52
2023-12-06,JPM,156.31
2023-12-05,MSFT,369.755
2023-12-05,AAPL,192.266
2023-12-05,AMZN,146.88
